215534765 ;        2592;   ;transacc  ;215534765                               ;19122016      ;105003;200.10.14.177  ;OK ;597032110312        ;mensaje enviado                                                         
          ;        2592;   ;resultado ;188                                     ;19122016      ;105003;200.10.14.177  ;OK ;                    ;tienda NO acepto transaccion                                            
          ;        2592;   ;resultado ;188                                     ;19122016      ;105003;200.10.14.177  ;OK ;                    ;respuesta enviada a TBK (ERR)                                           
215534765 ;        2592;   ;resultado ;datoscom                                ;19122016      ;105003;200.10.14.177  ;Ok ;597032110312        ;Error al obtener ack (46)                                               
          ;        2592;   ;resultado ;188                                     ;19122016      ;105003;200.10.14.177  ;ERR;                    ;46                                                                      
          ;        6400;   ;Filtro    ;Inicio                                  ;19122016      ;105232;200.83.215.99  ;OK ;                    ;Inicio de filtrado                                                      
          ;        6400;   ;Filtro    ;tbk_param.txt                           ;19122016      ;105232;200.83.215.99  ;OK ;                    ;Archivo parseado                                                        
          ;        6400;   ;Filtro    ;Terminado                               ;19122016      ;105232;200.83.215.99  ;OK ;                    ;Datos Filtrados con exito                                               
215555224 ;        6400;   ;pago      ;inicio                                  ;19122016      ;105232;200.83.215.99  ;OK ;597032110312        ;Parseo realizado                                                        
215555224 ;        6400;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;105232;200.83.215.99  ;OK ;597032110312        ;Datos en datos/tbk_config.dat                                           
215555224 ;        6400;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;105232;200.83.215.99  ;OK ;597032110312        ;Mac generado                                                            
215555224 ;        6400;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;105232;200.83.215.99  ;OK ;597032110312        ;Construccion TBK_PARAM                                                  
215555224 ;        6400;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;105232;200.83.215.99  ;OK ;597032110312        ;TBK_PARAM encriptado                                                    
215555224 ;        6400;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;105232;200.83.215.99  ;OK ;597032110312        ;Datos listos para ser enviados                                          
215555224 ;        6400;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;105232;200.83.215.99  ;OK ;597032110312        ;Medio 2: Por redireccion                                                
215555224 ;        6400;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;105232;200.83.215.99  ;OK ;597032110312        ;Redireccion web                                                         
215555224 ;        6400;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;105232;200.83.215.99  ;OK ;597032110312        ;Todo OK                                                                 
          ;        2812;   ;resultado ;Desencriptando                          ;19122016      ;105329;200.10.14.177  ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;        2812;   ;resultado ;Validacion                              ;19122016      ;105329;200.10.14.177  ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;        2812;   ;resultado ;189                                     ;19122016      ;105329;200.10.14.177  ;OK ;                    ;Parseo de los datos                                                     
          ;        2812;   ;resultado ;189                                     ;19122016      ;105329;200.10.14.177  ;OK ;                    ;http://190.98.201.83/Webpay/Xt_Cierre                                   
